time,open,high,low,close,tick_volume,spread,real_volume
2018-05-06,1314.96,1325.873,1304.095,1318.125,6833,150,0
2018-05-13,1318.81,1322.273,1284.745,1292.962,6825,150,0
2018-05-20,1290.56,1307.716,1282.056,1301.264,6830,150,0
2018-05-27,1297.48,1306.474,1289.318,1292.928,6594,150,0
2018-06-03,1293.33,1303.054,1289.85,1298.456,6832,150,0
2018-06-10,1298.637,1309.231,1275.39,1279.602,6833,150,0
2018-06-17,1279.739,1284.015,1261.332,1269.088,6832,150,0
2018-06-24,1271.095,1272.531,1245.91,1252.533,6831,150,0
2018-07-01,1253.02,1261.034,1237.914,1254.736,8977,0,0
2018-07-08,1255.83,1265.847,1236.388,1241.512,8099,0,0
2018-07-15,1241.63,1245.518,1211.435,1231.498,8398,0,0
2018-07-22,1231.819,1235.133,1217.538,1222.619,9336,0,0
2018-07-29,1223.091,1228.45,1204.451,1213.262,9312,0,0
2018-08-05,1213.69,1217.817,1205.726,1211.004,8788,0,0
2018-08-12,1212.46,1213.801,1160.182,1184.73,10393,0,0
2018-08-19,1183.23,1208.517,1182.868,1205.638,8281,0,0
2018-08-26,1206.47,1214.24,1196.244,1200.848,8878,0,0
2018-09-02,1199.64,1206.918,1189.626,1195.623,8542,0,0
2018-09-09,1195.01,1212.615,1187.715,1193.235,8388,0,0
2018-09-16,1194.16,1211.006,1191.846,1199.512,8709,0,0
2018-09-23,1197.68,1204.111,1180.744,1191.768,9391,0,0
2018-09-30,1191.41,1208.216,1184.552,1202.678,9210,0,0
2018-10-07,1203.12,1226.272,1182.418,1217.801,8419,0,0
2018-10-14,1218.857,1233.204,1218.669,1226.292,9269,0,0
2018-10-21,1228.066,1243.354,1220.088,1233.594,8831,0,0
2018-10-28,1233.097,1237.33,1211.958,1232.876,8971,0,0
2018-11-04,1233.117,1236.346,1206.739,1209.584,8093,0,0
2018-11-11,1209.544,1225.238,1196.294,1221.559,8680,0,0
2018-11-18,1221.955,1230.015,1218.009,1222.983,8151,0,0
2018-11-25,1223.581,1228.931,1211.169,1222.016,8280,0,0
2018-12-02,1223.023,1249.978,1221.28,1248.211,8321,0,0
2018-12-09,1250.26,1250.477,1232.889,1238.244,8881,0,0
2018-12-16,1237.299,1266.419,1235.793,1255.655,8561,0,0
2018-12-23,1258.6,1282.053,1257.98,1280.724,30843,0,0
2018-12-30,1280.074,1298.467,1276.643,1284.718,7451,0,0
2019-01-06,1285.549,1297.004,1279.375,1287.468,9189,0,0
2019-01-13,1288.078,1295.802,1280.615,1281.482,8234,0,0
